count,as_of_year,county_name,state_name
"8212","2012","",""
"7004","2013","",""
"6830","2014","",""
"28","2012","","Alabama"
"6","2013","","Alabama"
"20","2014","","Alabama"
"478","2012","Autauga County","Alabama"
"537","2013","Autauga County","Alabama"
"579","2014","Autauga County","Alabama"
"1802","2012","Baldwin County","Alabama"
"2165","2013","Baldwin County","Alabama"
"2349","2014","Baldwin County","Alabama"
"54","2012","Barbour County","Alabama"
"74","2013","Barbour County","Alabama"
"70","2014","Barbour County","Alabama"
"98","2012","Bibb County","Alabama"
"93","2013","Bibb County","Alabama"
"99","2014","Bibb County","Alabama"
"397","2012","Blount County","Alabama"
"387","2013","Blount County","Alabama"
"491","2014","Blount County","Alabama"
"20","2012","Bullock County","Alabama"
"16","2013","Bullock County","Alabama"
"20","2014","Bullock County","Alabama"
"73","2012","Butler County","Alabama"
"66","2013","Butler County","Alabama"
"77","2014","Butler County","Alabama"
"619","2012","Calhoun County","Alabama"
"689","2013","Calhoun County","Alabama"
"644","2014","Calhoun County","Alabama"
"107","2012","Chambers County","Alabama"
"136","2013","Chambers County","Alabama"
"145","2014","Chambers County","Alabama"
"86","2012","Cherokee County","Alabama"
"91","2013","Cherokee County","Alabama"
"96","2014","Cherokee County","Alabama"
"255","2012","Chilton County","Alabama"
"255","2013","Chilton County","Alabama"
"258","2014","Chilton County","Alabama"
"43","2012","Choctaw County","Alabama"
"62","2013","Choctaw County","Alabama"
"44","2014","Choctaw County","Alabama"
"73","2012","Clarke County","Alabama"
"90","2013","Clarke County","Alabama"
"87","2014","Clarke County","Alabama"
"45","2012","Clay County","Alabama"
"40","2013","Clay County","Alabama"
"41","2014","Clay County","Alabama"
"56","2012","Cleburne County","Alabama"
"69","2013","Cleburne County","Alabama"
"59","2014","Cleburne County","Alabama"
"426","2012","Coffee County","Alabama"
"474","2013","Coffee County","Alabama"
"393","2014","Coffee County","Alabama"
"435","2012","Colbert County","Alabama"
"520","2013","Colbert County","Alabama"
"468","2014","Colbert County","Alabama"
"21","2012","Conecuh County","Alabama"
"24","2013","Conecuh County","Alabama"
"27","2014","Conecuh County","Alabama"
"25","2012","Coosa County","Alabama"
"28","2013","Coosa County","Alabama"
"30","2014","Coosa County","Alabama"
"173","2012","Covington County","Alabama"
"198","2013","Covington County","Alabama"
"184","2014","Covington County","Alabama"
"61","2012","Crenshaw County","Alabama"
"74","2013","Crenshaw County","Alabama"
"77","2014","Crenshaw County","Alabama"
"459","2012","Cullman County","Alabama"
"598","2013","Cullman County","Alabama"
"535","2014","Cullman County","Alabama"
"220","2012","Dale County","Alabama"
"232","2013","Dale County","Alabama"
"246","2014","Dale County","Alabama"
"104","2012","Dallas County","Alabama"
"126","2013","Dallas County","Alabama"
"109","2014","Dallas County","Alabama"
"218","2012","DeKalb County","Alabama"
"230","2013","DeKalb County","Alabama"
"252","2014","DeKalb County","Alabama"
"678","2012","Elmore County","Alabama"
"726","2013","Elmore County","Alabama"
"810","2014","Elmore County","Alabama"
"122","2012","Escambia County","Alabama"
"141","2013","Escambia County","Alabama"
"144","2014","Escambia County","Alabama"
"572","2012","Etowah County","Alabama"
"617","2013","Etowah County","Alabama"
"623","2014","Etowah County","Alabama"
"64","2012","Fayette County","Alabama"
"85","2013","Fayette County","Alabama"
"64","2014","Fayette County","Alabama"
"130","2012","Franklin County","Alabama"
"147","2013","Franklin County","Alabama"
"154","2014","Franklin County","Alabama"
"117","2012","Geneva County","Alabama"
"134","2013","Geneva County","Alabama"
"135","2014","Geneva County","Alabama"
"20","2012","Greene County","Alabama"
"26","2013","Greene County","Alabama"
"16","2014","Greene County","Alabama"
"81","2012","Hale County","Alabama"
"69","2013","Hale County","Alabama"
"62","2014","Hale County","Alabama"
"94","2012","Henry County","Alabama"
"111","2013","Henry County","Alabama"
"100","2014","Henry County","Alabama"
"737","2012","Houston County","Alabama"
"745","2013","Houston County","Alabama"
"825","2014","Houston County","Alabama"
"188","2012","Jackson County","Alabama"
"198","2013","Jackson County","Alabama"
"225","2014","Jackson County","Alabama"
"4679","2012","Jefferson County","Alabama"
"5565","2013","Jefferson County","Alabama"
"5716","2014","Jefferson County","Alabama"
"53","2012","Lamar County","Alabama"
"51","2013","Lamar County","Alabama"
"51","2014","Lamar County","Alabama"
"693","2012","Lauderdale County","Alabama"
"774","2013","Lauderdale County","Alabama"
"763","2014","Lauderdale County","Alabama"
"186","2012","Lawrence County","Alabama"
"184","2013","Lawrence County","Alabama"
"210","2014","Lawrence County","Alabama"
"1362","2012","Lee County","Alabama"
"1542","2013","Lee County","Alabama"
"1592","2014","Lee County","Alabama"
"1088","2012","Limestone County","Alabama"
"1093","2013","Limestone County","Alabama"
"1076","2014","Limestone County","Alabama"
"36","2012","Lowndes County","Alabama"
"40","2013","Lowndes County","Alabama"
"34","2014","Lowndes County","Alabama"
"33","2012","Macon County","Alabama"
"37","2013","Macon County","Alabama"
"32","2014","Macon County","Alabama"
"4012","2012","Madison County","Alabama"
"4150","2013","Madison County","Alabama"
"3992","2014","Madison County","Alabama"
"83","2012","Marengo County","Alabama"
"95","2013","Marengo County","Alabama"
"99","2014","Marengo County","Alabama"
"126","2012","Marion County","Alabama"
"134","2013","Marion County","Alabama"
"125","2014","Marion County","Alabama"
"508","2012","Marshall County","Alabama"
"563","2013","Marshall County","Alabama"
"601","2014","Marshall County","Alabama"
"2377","2012","Mobile County","Alabama"
"2667","2013","Mobile County","Alabama"
"2687","2014","Mobile County","Alabama"
"68","2012","Monroe County","Alabama"
"74","2013","Monroe County","Alabama"
"81","2014","Monroe County","Alabama"
"1265","2012","Montgomery County","Alabama"
"1440","2013","Montgomery County","Alabama"
"1496","2014","Montgomery County","Alabama"
"902","2012","Morgan County","Alabama"
"916","2013","Morgan County","Alabama"
"915","2014","Morgan County","Alabama"
"12","2012","Perry County","Alabama"
"16","2013","Perry County","Alabama"
"16","2014","Perry County","Alabama"
"76","2012","Pickens County","Alabama"
"84","2013","Pickens County","Alabama"
"59","2014","Pickens County","Alabama"
"103","2012","Pike County","Alabama"
"150","2013","Pike County","Alabama"
"135","2014","Pike County","Alabama"
"76","2012","Randolph County","Alabama"
"70","2013","Randolph County","Alabama"
"91","2014","Randolph County","Alabama"
"575","2012","Russell County","Alabama"
"480","2013","Russell County","Alabama"
"419","2014","Russell County","Alabama"
"2546","2012","Shelby County","Alabama"
"2945","2013","Shelby County","Alabama"
"2973","2014","Shelby County","Alabama"
"803","2012","St. Clair County","Alabama"
"847","2013","St. Clair County","Alabama"
"925","2014","St. Clair County","Alabama"
"21","2012","Sumter County","Alabama"
"28","2013","Sumter County","Alabama"
"35","2014","Sumter County","Alabama"
"395","2012","Talladega County","Alabama"
"417","2013","Talladega County","Alabama"
"400","2014","Talladega County","Alabama"
"180","2012","Tallapoosa County","Alabama"
"206","2013","Tallapoosa County","Alabama"
"218","2014","Tallapoosa County","Alabama"
"1641","2012","Tuscaloosa County","Alabama"
"1823","2013","Tuscaloosa County","Alabama"
"1734","2014","Tuscaloosa County","Alabama"
"342","2012","Walker County","Alabama"
"327","2013","Walker County","Alabama"
"342","2014","Walker County","Alabama"
"63","2012","Washington County","Alabama"
"64","2013","Washington County","Alabama"
"46","2014","Washington County","Alabama"
"29","2012","Wilcox County","Alabama"
"28","2013","Wilcox County","Alabama"
"26","2014","Wilcox County","Alabama"
"83","2012","Winston County","Alabama"
"122","2013","Winston County","Alabama"
"119","2014","Winston County","Alabama"
"1","2012","","Alaska"
"1","2013","","Alaska"
"1","2014","","Alaska"
"2","2013","Aleutians East Borough","Alaska"
"3","2012","Aleutians West Census Area","Alaska"
"9","2013","Aleutians West Census Area","Alaska"
"7","2014","Aleutians West Census Area","Alaska"
"3548","2012","Anchorage Municipality","Alaska"
"4067","2013","Anchorage Municipality","Alaska"
"3976","2014","Anchorage Municipality","Alaska"
"30","2012","Bethel Census Area","Alaska"
"36","2013","Bethel Census Area","Alaska"
"31","2014","Bethel Census Area","Alaska"
"2","2012","Bristol Bay Borough","Alaska"
"5","2013","Bristol Bay Borough","Alaska"
"3","2014","Bristol Bay Borough","Alaska"
"12","2012","Denali Borough","Alaska"
"12","2013","Denali Borough","Alaska"
"17","2014","Denali Borough","Alaska"
"8","2012","Dillingham Census Area","Alaska"
"11","2013","Dillingham Census Area","Alaska"
