count,as_of_year,county_name,state_name
"19092","2012","",""
"7522","2013","",""
"3601","2014","",""
"11","2012","","Alabama"
"13","2013","","Alabama"
"25","2014","","Alabama"
"1040","2012","Autauga County","Alabama"
"855","2013","Autauga County","Alabama"
"431","2014","Autauga County","Alabama"
"2906","2012","Baldwin County","Alabama"
"2850","2013","Baldwin County","Alabama"
"1230","2014","Baldwin County","Alabama"
"159","2012","Barbour County","Alabama"
"149","2013","Barbour County","Alabama"
"83","2014","Barbour County","Alabama"
"171","2012","Bibb County","Alabama"
"184","2013","Bibb County","Alabama"
"104","2014","Bibb County","Alabama"
"715","2012","Blount County","Alabama"
"680","2013","Blount County","Alabama"
"381","2014","Blount County","Alabama"
"39","2012","Bullock County","Alabama"
"32","2013","Bullock County","Alabama"
"16","2014","Bullock County","Alabama"
"131","2012","Butler County","Alabama"
"118","2013","Butler County","Alabama"
"64","2014","Butler County","Alabama"
"1297","2012","Calhoun County","Alabama"
"1340","2013","Calhoun County","Alabama"
"655","2014","Calhoun County","Alabama"
"267","2012","Chambers County","Alabama"
"241","2013","Chambers County","Alabama"
"133","2014","Chambers County","Alabama"
"223","2012","Cherokee County","Alabama"
"215","2013","Cherokee County","Alabama"
"132","2014","Cherokee County","Alabama"
"483","2012","Chilton County","Alabama"
"426","2013","Chilton County","Alabama"
"241","2014","Chilton County","Alabama"
"79","2012","Choctaw County","Alabama"
"58","2013","Choctaw County","Alabama"
"52","2014","Choctaw County","Alabama"
"263","2012","Clarke County","Alabama"
"285","2013","Clarke County","Alabama"
"199","2014","Clarke County","Alabama"
"111","2012","Clay County","Alabama"
"87","2013","Clay County","Alabama"
"49","2014","Clay County","Alabama"
"151","2012","Cleburne County","Alabama"
"139","2013","Cleburne County","Alabama"
"53","2014","Cleburne County","Alabama"
"932","2012","Coffee County","Alabama"
"702","2013","Coffee County","Alabama"
"346","2014","Coffee County","Alabama"
"835","2012","Colbert County","Alabama"
"742","2013","Colbert County","Alabama"
"438","2014","Colbert County","Alabama"
"53","2012","Conecuh County","Alabama"
"44","2013","Conecuh County","Alabama"
"40","2014","Conecuh County","Alabama"
"54","2012","Coosa County","Alabama"
"67","2013","Coosa County","Alabama"
"34","2014","Coosa County","Alabama"
"345","2012","Covington County","Alabama"
"307","2013","Covington County","Alabama"
"187","2014","Covington County","Alabama"
"118","2012","Crenshaw County","Alabama"
"109","2013","Crenshaw County","Alabama"
"67","2014","Crenshaw County","Alabama"
"971","2012","Cullman County","Alabama"
"874","2013","Cullman County","Alabama"
"449","2014","Cullman County","Alabama"
"604","2012","Dale County","Alabama"
"523","2013","Dale County","Alabama"
"272","2014","Dale County","Alabama"
"170","2012","Dallas County","Alabama"
"202","2013","Dallas County","Alabama"
"135","2014","Dallas County","Alabama"
"473","2012","DeKalb County","Alabama"
"511","2013","DeKalb County","Alabama"
"259","2014","DeKalb County","Alabama"
"1530","2012","Elmore County","Alabama"
"1402","2013","Elmore County","Alabama"
"620","2014","Elmore County","Alabama"
"221","2012","Escambia County","Alabama"
"249","2013","Escambia County","Alabama"
"155","2014","Escambia County","Alabama"
"1158","2012","Etowah County","Alabama"
"1041","2013","Etowah County","Alabama"
"539","2014","Etowah County","Alabama"
"118","2012","Fayette County","Alabama"
"107","2013","Fayette County","Alabama"
"74","2014","Fayette County","Alabama"
"291","2012","Franklin County","Alabama"
"262","2013","Franklin County","Alabama"
"150","2014","Franklin County","Alabama"
"296","2012","Geneva County","Alabama"
"260","2013","Geneva County","Alabama"
"189","2014","Geneva County","Alabama"
"32","2012","Greene County","Alabama"
"38","2013","Greene County","Alabama"
"26","2014","Greene County","Alabama"
"149","2012","Hale County","Alabama"
"159","2013","Hale County","Alabama"
"99","2014","Hale County","Alabama"
"234","2012","Henry County","Alabama"
"240","2013","Henry County","Alabama"
"121","2014","Henry County","Alabama"
"1592","2012","Houston County","Alabama"
"1362","2013","Houston County","Alabama"
"651","2014","Houston County","Alabama"
"463","2012","Jackson County","Alabama"
"461","2013","Jackson County","Alabama"
"261","2014","Jackson County","Alabama"
"9744","2012","Jefferson County","Alabama"
"8144","2013","Jefferson County","Alabama"
"3742","2014","Jefferson County","Alabama"
"87","2012","Lamar County","Alabama"
"78","2013","Lamar County","Alabama"
"81","2014","Lamar County","Alabama"
"1466","2012","Lauderdale County","Alabama"
"1191","2013","Lauderdale County","Alabama"
"668","2014","Lauderdale County","Alabama"
"409","2012","Lawrence County","Alabama"
"350","2013","Lawrence County","Alabama"
"203","2014","Lawrence County","Alabama"
"2421","2012","Lee County","Alabama"
"1791","2013","Lee County","Alabama"
"829","2014","Lee County","Alabama"
"1873","2012","Limestone County","Alabama"
"1411","2013","Limestone County","Alabama"
"613","2014","Limestone County","Alabama"
"54","2012","Lowndes County","Alabama"
"63","2013","Lowndes County","Alabama"
"40","2014","Lowndes County","Alabama"
"69","2012","Macon County","Alabama"
"89","2013","Macon County","Alabama"
"46","2014","Macon County","Alabama"
"8406","2012","Madison County","Alabama"
"6074","2013","Madison County","Alabama"
"2437","2014","Madison County","Alabama"
"152","2012","Marengo County","Alabama"
"192","2013","Marengo County","Alabama"
"106","2014","Marengo County","Alabama"
"274","2012","Marion County","Alabama"
"225","2013","Marion County","Alabama"
